SourcePath	DeclaredTypes	PublicTypeDeclarations	Disposition	FinalOwners	MigrationStatus	DestinationPaths	Rationale
XRENGINE/Core/Engine/AssetManager.Prefabs.cs	XREngine.AssetManagerPrefabExtensions	1	Refactor	XREngine.Runtime.Core	Pending		Runtime asset loading, saving, watching, publication, and cache coordination belong behind focused Runtime.Core services.
XRENGINE/Core/Engine/AssetManager.Published.cs	XREngine.AssetManager	1	Refactor	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Assets/AssetManager.Published.cs	Runtime asset loading, saving, watching, publication, and cache coordination belong behind focused Runtime.Core services.
XRENGINE/Core/Engine/AssetManager.RenderAssetSerializationServices.cs	XREngine.AssetManager	1	Refactor	XREngine.Runtime.Bootstrap	Migrated	XREngine.Runtime.Bootstrap/Assets/RuntimeAssetBootstrap.cs	Bootstrap composes owner-provided serialization registrations without a facade static constructor.
XRENGINE/Core/Engine/AssetManager.Saving.cs	XREngine.AssetManager	1	Refactor	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Assets/AssetManager.Saving.cs	Runtime asset loading, saving, watching, publication, and cache coordination belong behind focused Runtime.Core services.
XRENGINE/Core/Engine/AssetManager.Serialization.cs	XREngine.AssetManager;XREngine.CompatibilityNormalizingYamlDeserializer	1	Refactor	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Assets/AssetManager.Serialization.cs	Runtime asset loading, saving, watching, publication, and cache coordination belong behind focused Runtime.Core services.
XRENGINE/Core/Engine/AssetManager.ThirdPartyImport.cs	XREngine.AssetManagerThirdPartyImportExtensions;XREngine.ThirdPartyAssetImportService;XREngine.ThirdPartyImportBackup;XREngine.ThirdPartyImportProgress;XREngine.XRAssetReferenceEqualityComparer	2	Split	XREngine.Runtime.ModelingBridge;XREngine.Editor	Pending		ModelingBridge owns runtime import policy while Editor owns automatic watching and authoring UX.
XRENGINE/Core/Engine/AssetManagerRenderAssetSerializationServices.cs	XREngine.AssetManagerRenderAssetSerializationServices	0	Refactor	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Serialization/AssetManagerAssetSerializationServices.cs	Runtime.Core implements the lower asset serialization service contract consumed by renderer-owned converters.
XRENGINE/Core/Engine/AssetMetadata.cs	XREngine.Core.Engine.AssetImportMetadata;XREngine.Core.Engine.AssetMetadata	2	Move	XREngine.Data	Migrated	XREngine.Data/Serialization/Yaml/AssetMetadata.cs	Format-neutral metadata and YAML infrastructure belong in the lower Data layer.
XRENGINE/Core/Engine/BlendTreeSerialization.cs	XREngine.BlendTree1DChildSerializedModel;XREngine.BlendTree1DSerializedModel;XREngine.BlendTree2DChildSerializedModel;XREngine.BlendTree2DSerializedModel;XREngine.BlendTreeCookedBinarySerializer;XREngine.BlendTreeDirectChildSerializedModel;XREngine.BlendTreeDirectSerializedModel;XREngine.BlendTreeMemoryPackRegistration;XREngine.BlendTreeSerialization;XREngine.BlendTreeYamlTypeConverter	1	Move	XREngine.Animation	Migrated	XREngine.Animation/Serialization/BlendTreeSerialization.cs	Serialization that directly requires animation domain types belongs with Animation.
XRENGINE/Core/Engine/InterfaceCollectionYamlNodeDeserializer.cs	XREngine.InterfaceCollectionYamlNodeDeserializer	0	Move	XREngine.Data	Migrated	XREngine.Data/Serialization/Yaml/InterfaceCollectionYamlNodeDeserializer.cs	Format-neutral metadata and YAML infrastructure belong in the lower Data layer.
XRENGINE/Core/Engine/Loading/AssetLoading.Types.cs	XREngine.PrefabPartialLoadPlan	1	Refactor	XREngine.Runtime.Core	Pending		Runtime asset loading, saving, watching, publication, and cache coordination belong behind focused Runtime.Core services.
XRENGINE/Core/Engine/Loading/AssetManager.Loading.Api.cs	XREngine.AssetManagerPrefabLoadingExtensions	1	Refactor	XREngine.Runtime.Core	Pending		Runtime asset loading, saving, watching, publication, and cache coordination belong behind focused Runtime.Core services.
XRENGINE/Core/Engine/Loading/AssetManager.Loading.Core.cs	XREngine.AssetManager	1	Refactor	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Assets/Loading/AssetManager.Loading.Core.cs	Runtime asset loading, saving, watching, publication, and cache coordination belong behind focused Runtime.Core services.
XRENGINE/Core/Engine/Loading/AssetManager.Loading.Remote.cs	XREngine.AssetManager	1	Refactor	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Assets/Loading/AssetManager.Loading.Remote.cs	Runtime asset loading, saving, watching, publication, and cache coordination belong behind focused Runtime.Core services.
XRENGINE/Core/Engine/Loading/AssetManager.Loading.SerializationAndCache.cs	XREngine.AnimationClipBinaryCacheCodec;XREngine.AssetManager;XREngine.TextureStreamingCacheCodec	1	Split	XREngine.Runtime.Core;XREngine.Animation;XREngine.Runtime.Rendering;XREngine.Runtime.ModelingBridge	Migrated	XREngine.Runtime.Core/Assets/Loading/AssetManager.Loading.SerializationAndCache.cs;XREngine.Animation/Serialization/AnimationClipBinaryCacheCodec.cs;XREngine.Runtime.Rendering/Serialization/TextureStreamingCacheCodec.cs;XREngine.Runtime.ModelingBridge/Importing/Caching/ModelCachePathPolicy.cs	Runtime.Core owns generic loading/cache coordination while feature owners contribute their codecs and path policies.
XRENGINE/Core/Engine/Loading/AssetManager.Loading.ThirdParty.cs	XREngine.AssetManager	1	Refactor	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Assets/Loading/AssetManager.Loading.ThirdParty.cs	Generic third-party load coordination belongs in Runtime.Core; feature-specific importer and cache policies register through lower contracts.
XRENGINE/Core/Engine/ModelCaching/AssetManager.ModelCacheIdentity.cs	XREngine.Rendering.Models.Caching.AssetManagerModelCacheIdentityExtensions	0	Move	XREngine.Runtime.ModelingBridge	Pending		Model caching and third-party model import belong to the explicit modeling bridge.
XRENGINE/Core/Engine/ModelCaching/FacadeModelCachePolicyServices.cs	XREngine.ModelCaching.FacadeModelCachePolicyServices	1	Move	XREngine.Runtime.ModelingBridge	Pending		The temporary facade adapter disappears when ModelingBridge takes ownership of prefab import policy in P6.5.
XRENGINE/Core/Engine/ModelCaching/ModelBinaryCacheCodec.cs	XREngine.ModelCaching.ModelBinaryCacheCodec	0	Move	XREngine.Runtime.ModelingBridge	Migrated	XREngine.Runtime.ModelingBridge/Importing/Caching/ModelBinaryCacheCodec.cs	Model caching and third-party model import belong to the explicit modeling bridge.
XRENGINE/Core/Engine/ModelCaching/ModelCookOverrideSnapshotBuilder.cs	XREngine.ModelCaching.ModelCookOverrideSnapshotBuilder	0	Move	XREngine.Runtime.ModelingBridge	Pending		Model caching and third-party model import belong to the explicit modeling bridge.
XRENGINE/Core/Engine/ModelCaching/UnityModelImportProducerAdapter.cs	XREngine.ModelCaching.UnityModelImportProducerAdapter	0	Move	XREngine.Runtime.ModelingBridge	Pending		Model caching and third-party model import belong to the explicit modeling bridge.
XRENGINE/Core/Engine/MotionSerialization.cs	XREngine.MotionSerialization;XREngine.SerializedMotionModel	0	Move	XREngine.Animation	Migrated	XREngine.Animation/Serialization/MotionSerialization.cs	Serialization that directly requires animation domain types belongs with Animation.
XRENGINE/Core/Engine/PolymorphicTypeGraphVisitor.cs	XREngine.PolymorphicTypeGraphVisitor	1	Move	XREngine.Data	Migrated	XREngine.Data/Serialization/Yaml/PolymorphicTypeGraphVisitor.cs	Format-neutral metadata and YAML infrastructure belong in the lower Data layer.
XRENGINE/Core/Engine/PolymorphicYamlNodeDeserializer.cs	XREngine.PolymorphicYamlNodeDeserializer;XREngine.ReplayParser	1	Move	XREngine.Data	Migrated	XREngine.Data/Serialization/Yaml/PolymorphicYamlNodeDeserializer.cs	Format-neutral metadata and YAML infrastructure belong in the lower Data layer.
XRENGINE/Core/Engine/SerializedAssetSupport.cs	XREngine.CookedBinaryMemoryPackFormatter;XREngine.SerializedAssetSupport	0	Move	XREngine.Data	Migrated	XREngine.Data/Serialization/SerializedAssetSupport.cs	Format-neutral cooked and MemoryPack model helpers belong in Data.
XRENGINE/Core/Engine/TextFileYamlTypeConverter.cs	XREngine.TextFileYamlTypeConverter	1	Move	XREngine.Data	Migrated	XREngine.Data/Serialization/Yaml/TextFileYamlTypeConverter.cs	Format-neutral metadata and YAML infrastructure belong in the lower Data layer.
XRENGINE/Core/Engine/TransformBaseYamlTypeConverter.cs	XREngine.Core.Engine.TransformBaseYamlTypeConverter	0	Move	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Serialization/TransformBaseYamlTypeConverter.cs	Transform serialization depends on canonical Runtime.Core scene ownership.
XRENGINE/Core/Engine/XRAssetYamlTypeConverter.cs	XREngine.DelegateSkippingTypeInspector;XREngine.DepthTrackingNodeDeserializer;XREngine.LegacyEnumYamlNodeDeserializer;XREngine.NotSupportedAnnotatingNodeDeserializer;XREngine.PrefixReplayParser;XREngine.ScalarPathResolution;XREngine.XRAssetDeserializer;XREngine.XRAssetYamlConverter	5	Split	XREngine.Data;XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Serialization/XRAssetYamlTypeConverter.cs;XREngine.Data/Serialization/Yaml/YamlEnumAliasRegistry.cs	Separate lower type/format resolution from runtime asset loading and publication.
XRENGINE/Core/Engine/YamlDefaultTypeInspector.cs	XREngine.Entry;XREngine.YamlDefaultTypeContext;XREngine.YamlDefaultTypeInspector;XREngine.YamlDefaultTypePropertyDescriptor	0	Move	XREngine.Data	Migrated	XREngine.Data/Serialization/Yaml/YamlDefaultTypeInspector.cs	Format-neutral metadata and YAML infrastructure belong in the lower Data layer.
XRENGINE/Core/Enums/ENormalizeOption.cs	XREngine.Core.ENormalizeOption	1	Move	XREngine.Data	Pending		The source is a lower value, serialization, or reflection contract independent of runtime ownership.
XRENGINE/Core/Enums/ERenderPass2D.cs	XREngine.ERenderPass2D	1	Move	XREngine.Runtime.Rendering	Pending		The type is renderer-facing and has no lower runtime ownership.
XRENGINE/Core/Extensions/BitmapExtension.cs	<assembly-metadata-or-global-source>	0	Move	XREngine.Runtime.Rendering	Pending		The type is renderer-facing and has no lower runtime ownership.
XRENGINE/Core/Extensions/ControlExtension.cs	<assembly-metadata-or-global-source>	0	Move	XREngine.Editor	Pending		The source depends on authoring UI or editor-only conversion behavior.
XRENGINE/Core/Extensions/GraphicsExtension.cs	XREngine.Extensions.GraphicsExtensions	1	Move	XREngine.Runtime.Rendering	Pending		The type is renderer-facing and has no lower runtime ownership.
XRENGINE/Core/Files/AssetPacker/ArchiveEntryInfo.cs	XREngine.Core.Files.ArchiveEntryInfo;XREngine.Core.Files.AssetPacker	2	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/AssetPacker/ArchiveEntryInfo.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/AssetPacker/ArchiveInfo.cs	XREngine.Core.Files.ArchiveInfo;XREngine.Core.Files.AssetPacker	2	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/AssetPacker/ArchiveInfo.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/AssetPacker/AssetPacker.cs	XREngine.Core.Files.ArchiveFlags;XREngine.Core.Files.AssetPacker;XREngine.Core.Files.BucketLayout;XREngine.Core.Files.CompressedFileResult;XREngine.Core.Files.LzmaProgressAdapter;XREngine.Core.Files.PackedAsset;XREngine.Core.Files.PackPhase;XREngine.Core.Files.PackProgress;XREngine.Core.Files.TocEntry	4	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/AssetPacker/AssetPacker.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/AssetPacker/FooterInfo.cs	XREngine.Core.Files.AssetPacker;XREngine.Core.Files.FooterInfo	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/AssetPacker/FooterInfo.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/AssetPacker/StringCompressor.cs	XREngine.Core.Files.AssetPacker;XREngine.Core.Files.BufferBuilder;XREngine.Core.Files.StringCompressor	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/AssetPacker/StringCompressor.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/AssetPacker/TocEntryData.cs	XREngine.Core.Files.AssetPacker;XREngine.Core.Files.TocEntryData	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/AssetPacker/TocEntryData.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedAssetBlob.cs	XREngine.Core.Files.CookedAssetBlob;XREngine.Core.Files.CookedAssetFormat;XREngine.Core.Files.CookedAssetReader	3	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedAssetBlob.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedAssetTypeReference.cs	XREngine.Core.Files.CookedAssetTypeReference	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedAssetTypeReference.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/CookedBinarySerializer.cs	XREngine.Core.Files.CookedBinaryObjectEncoding;XREngine.Core.Files.CookedBinaryReader;XREngine.Core.Files.CookedBinarySerializationCallbacks;XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.CookedBinarySizeCalculator;XREngine.Core.Files.CookedBinaryWriter;XREngine.Core.Files.ICookedBinarySerializable;XREngine.Core.Files.MemberMetadata;XREngine.Core.Files.MemoryPackRecursionScope;XREngine.Core.Files.OwningSceneNodeScope;XREngine.Core.Files.ReferenceLoopGuard;XREngine.Core.Files.ReferenceLoopScope;XREngine.Core.Files.TypeMetadata;XREngine.Core.Files.TypeMetadataCache	5	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/CookedBinarySerializer.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/CookedBinarySerializer.Schema.cs	XREngine.Core.Files.CookedBinarySchema;XREngine.Core.Files.CookedBinarySchemaBuilder;XREngine.Core.Files.CookedBinarySchemaFormatter;XREngine.Core.Files.CookedBinarySchemaNode;XREngine.Core.Files.CookedBinarySerializer	3	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/CookedBinarySerializer.Schema.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/CookedBinaryTypeMarker.cs	XREngine.Core.Files.CookedBinaryTypeMarker	0	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/CookedBinaryTypeMarker.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Collections/Array.cs	XREngine.Core.Files.ArrayCookedBinaryModule;XREngine.Core.Files.CookedBinarySerializer	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Collections/Array.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Collections/Dictionary.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.DictionaryCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Collections/Dictionary.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Collections/HashSet.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.HashSetCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Collections/HashSet.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Collections/List.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.ListCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Collections/List.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Core/ByteArray.cs	XREngine.Core.Files.ByteArrayCookedBinaryModule;XREngine.Core.Files.CookedBinarySerializer	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Core/ByteArray.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Core/DataSource.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.DataSourceCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Core/DataSource.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Core/Enum.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.EnumCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Core/Enum.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Core/Nullable.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.NullableCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Core/Nullable.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Core/Primitive.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.PrimitiveCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Core/Primitive.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Core/Registry.cs	XREngine.Core.Files.CookedBinaryModule;XREngine.Core.Files.CookedBinarySerializationModuleInfo;XREngine.Core.Files.CookedBinarySerializer	2	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Core/Registry.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Core/TypeReference.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.TypeReferenceCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Core/TypeReference.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Core/ValueTuple.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.ValueTupleCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Core/ValueTuple.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Core/XREvent.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.XREventCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Core/XREvent.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Custom/AnimationClip.cs	XREngine.Core.Files.AnimationClipCookedBinaryModule;XREngine.Core.Files.CookedBinarySerializer	1	Move	XREngine.Animation	Migrated	XREngine.Animation/Serialization/CookedBinary/AnimationClipCookedBinaryCodec.cs	Cooked modules that require animation types belong with Animation.
XRENGINE/Core/Files/CookedBinary/Modules/Custom/AnimStateMachine.cs	XREngine.Core.Files.AnimStateMachineCookedBinaryModule;XREngine.Core.Files.CookedBinarySerializer	1	Move	XREngine.Animation	Migrated	XREngine.Animation/Serialization/CookedBinary/AnimStateMachineCookedBinaryCodec.cs	Cooked modules that require animation types belong with Animation.
XRENGINE/Core/Files/CookedBinary/Modules/Custom/BlendTree.cs	XREngine.Core.Files.BlendTreeCookedBinaryModule;XREngine.Core.Files.CookedBinarySerializer	1	Move	XREngine.Animation	Migrated	XREngine.Animation/Serialization/CookedBinary/BlendTreeCookedBinaryCodec.cs	Cooked modules that require animation types belong with Animation.
XRENGINE/Core/Files/CookedBinary/Modules/Custom/BlittableStruct.cs	XREngine.Core.Files.BlittableStructCookedBinaryModule;XREngine.Core.Files.CookedBinarySerializer	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Custom/BlittableStruct.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Custom/CustomSerializable.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.CustomSerializableCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Custom/CustomSerializable.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/CookedBinary/Modules/Custom/Object.cs	XREngine.Core.Files.CookedBinarySerializer;XREngine.Core.Files.ObjectCookedBinaryModule	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/CookedBinary/Modules/Custom/Object.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/DirectStorageIO.cs	XREngine.Core.Files.DirectStorageIO;XREngine.Core.Files.DirectStorageQueueContext;XREngine.Core.Files.ReadBatch;XREngine.Core.Files.ReadRequest;XREngine.Core.Files.RuntimeState	2	Move	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Assets/IO/DirectStorageIO.cs	Published registry, project runtime state, and runtime IO orchestration require Runtime.Core ownership.
XRENGINE/Core/Files/EventArgs.cs	XREngine.Core.Files.EventArgs	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/EventArgs.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/EventRaisingStreamWriter.cs	XREngine.Core.Files.EventRaisingStreamWriter	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/EventRaisingStreamWriter.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/FacadeAssetSerializationRegistration.cs	XREngine.FacadeAssetSerializationRegistration;XREngine.FacadeAssetTypeHintProvider	1	Split	XREngine.Runtime.Bootstrap;XREngine.Runtime.ModelingBridge;XREngine.Editor	Pending		The temporary registration adapter splits into composition, prefab type hints, and editor-settings aliases in P6.4-P6.5.
XRENGINE/Core/Files/FacadePublishedCookedAssetRegistration.cs	XREngine.FacadePublishedCookedAssetRegistration	1	Split	XREngine.Runtime.Bootstrap;XREngine.Editor	Pending		Startup-settings serialization moves with Bootstrap while editor-preference serialization moves to Editor in P6.4.
XRENGINE/Core/Files/FileMap.cs	System.CFileMap;System.FileMap;System.FileMapProtect;System.WFileMap	4	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/FileMap.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
XRENGINE/Core/Files/PublishedCookedAssetRegistryRegistration.cs	XREngine.EnginePublishedCookedAssetRegistryRegistration	1	Split	XREngine.Data;XREngine.Animation;XREngine.Runtime.Rendering	Migrated	XREngine.Data/Core/Files/DataPublishedCookedAssetRegistration.cs;XREngine.Animation/Serialization/AnimationPublishedCookedAssetRegistration.cs;XREngine.Runtime.Rendering/Core/Files/PublishedCookedAssetRegistryRegistration.cs	Data owns the registry and each feature owner contributes its published cooked serializers through leases.
XRENGINE/Core/Files/TocLookupMode.cs	XREngine.Core.Files.TocLookupMode	1	Move	XREngine.Data	Migrated	XREngine.Data/Core/Files/TocLookupMode.cs	Asset packing, cooked formats, lower serialization modules, and file primitives are format-neutral Data responsibilities.
